French,English
partie,part
histoire,history
police,police
aide,help
demande,request
genre,kind
mois,month
frère,brother
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
dont,whose
trouve,find
premier,first
main,hand
première,first
côté,side
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
